mac,method,real_room,estimated_room,count
c3:00:00:13:3b:b7,baseline,Corredor,Corredor,17
c3:00:00:13:3b:b7,baseline,Corredor,Sala A,18
c3:00:00:13:3b:b7,baseline,Corredor,Sala B,16
c3:00:00:13:3b:b7,median,Corredor,Corredor,47
c3:00:00:13:3b:b7,median,Corredor,Sala A,4
c3:00:00:13:3b:b7,median_hysteresis,Corredor,Corredor,47
c3:00:00:13:3b:b7,median_hysteresis,Corredor,Sala A,4
c3:00:00:13:3b:b7,median_hysteresis_persistence,Corredor,Corredor,46
c3:00:00:13:3b:b7,median_hysteresis_persistence,Corredor,Sala A,4
c3:00:00:13:3b:b7,median_hysteresis_persistence,Corredor,desconhecida,1
